date,TA,Fundamentals,Hybrid
2018-05-07,-0.0007182909812115668,-0.06643011700103163,-0.022668883732656964
2018-05-08,-0.0007182909812115668,-0.06615884313442877,-0.022668883732656964
2018-05-09,-0.0007182909812115668,-0.054643363755779606,-0.022668883732656964
2018-05-10,-0.0007182909812115668,-0.04224026542654524,-0.022668883732656964
2018-05-11,-0.0007182909812115668,-0.038243299830328925,-0.022668883732656964
2018-05-14,-0.0007182909812115668,-0.0347260151155957,-0.022668883732656964
2018-05-15,-0.0007182909812115668,-0.04600886609219734,-0.022668883732656964
2018-05-16,-0.0007182909812115668,-0.045463812588670716,-0.022668883732656964
2018-05-17,-0.0007182909812115668,-0.043968823652466016,-0.022668883732656964
2018-05-18,-0.0007182909812115668,-0.04741759567796222,-0.022668883732656964
