date,TA,Fundamentals,Hybrid
2023-11-01,25.193816233106414,2.5514301815873734,9.44617926264205
2023-11-02,25.193816233106414,2.586045011734024,9.44617926264205
2023-11-03,25.193816233106414,2.603727694263042,9.44617926264205
2023-11-06,25.193816233106414,2.6106827594740567,9.44617926264205
2023-11-07,25.193816233106414,2.6123326204235644,9.44617926264205
2023-11-08,25.193816233106414,2.607971122220469,9.44617926264205
2023-11-09,25.193816233106414,2.5927664128426304,9.44617926264205
2023-11-10,25.193816233106414,2.621322965837435,9.44617926264205
2023-11-13,25.193816233106414,2.6226338741560697,9.44617926264205
2023-11-14,25.193816233106414,2.6447728080786104,9.44617926264205
2023-11-15,25.193816233106414,2.649224407442228,9.44617926264205
2023-11-16,25.193816233106414,2.65459996939225,9.44617926264205
2023-11-17,25.193816233106414,2.6577766140131764,9.44617926264205
2023-11-20,25.193816233106414,2.67660176067244,9.44617926264205
2023-11-21,25.193816233106414,2.679562412304927,9.44617926264205
2023-11-22,25.193816233106414,2.6858687494960374,9.44617926264205
2023-11-24,25.193816233106414,2.6837653640718884,9.44617926264205
2023-11-27,25.193816233106414,2.6737650764910343,9.44617926264205
2023-11-28,25.193816233106414,2.676941559911422,9.44617926264205
2023-11-29,25.193816233106414,2.659413307963381,9.44617926264205
2023-11-30,25.51416860319322,2.6633980769624883,9.56629230494787
2023-12-01,25.50779006104242,2.651708126569938,9.563900731871634
2023-12-04,25.50779006104242,2.634787919436288,9.563900731871634
2023-12-05,25.540609557487084,2.635744083880684,9.576206086640338
2023-12-06,25.514483942798975,2.6138028693569604,9.566410538502367
2023-12-07,25.575440186107425,2.6375369002016513,9.589265496089626
2023-12-08,25.51883821191366,2.6526429860023595,9.568043129858696
2023-12-11,25.706059448805128,2.635439065634612,9.638239933276132
2023-12-12,25.871509340123175,2.643786706432863,9.700273779911926
2023-12-13,26.116589381096208,2.6402718807017096,9.792164185847522
2023-12-14,26.398708256936136,2.635635298584211,9.897941946941813
2023-12-15,26.24927892961869,2.6406218506548376,9.841914856806824
2023-12-18,26.3723439005848,2.6693280965888535,9.888056884911725
2023-12-19,26.50256604998872,2.6908455677264764,9.936882428285323
2023-12-20,26.253004738490702,2.6560860104721415,9.843311813035198
2023-12-21,26.33338281723321,2.6857456472370163,9.873448801158132
2023-12-22,26.39278903247933,2.6918926650017374,9.895722590620506
2023-12-26,26.63041971332325,2.700845552898928,9.984819930570364
2023-12-27,26.54305489332157,2.7034999733035585,9.95206333096082
2023-12-28,26.169137654013195,2.7007057537845434,9.811866655744234
2023-12-29,26.062549838277214,2.6971716098449177,9.771902578633421
2024-01-02,26.118461227928886,2.7093400901359437,9.792866016827396
2024-01-03,26.616440410945472,2.716941343746408,9.979578525496779
2024-01-04,26.32464429828224,2.703606349187159,9.870172377462051
2024-01-05,26.27921447548418,2.7124440841905852,9.853138902023082
2024-01-08,26.22663525724543,2.743494321714423,9.833424829475383
2024-01-09,26.23631812502712,2.740758211004415,9.837055327689548
2024-01-10,26.275270083718404,2.7568494605640206,9.851659990239455
2024-01-11,26.158395773210717,2.7534557298249798,9.807839090775937
2024-01-12,26.359681356244383,2.7661075360381657,9.883309185609084
2024-01-16,26.056134701752313,2.7474296262097972,9.769497284848315
2024-01-17,26.041526729684126,2.7421512074378067,9.76402016611636
2024-01-18,26.16814232172782,2.754111605037869,9.81149346546982
2024-01-19,26.383380945249304,2.775472495063049,9.84009652575957
2024-01-22,26.577615414096545,2.7785387193689335,9.888178064727034
2024-01-23,26.595902734247083,2.787373941109867,9.885706020210852
2024-01-24,26.49356643617487,2.8062739354627655,9.885706020210852
2024-01-25,26.724007404349347,2.8179938797933777,9.885706020210852
2024-01-26,26.717326402498262,2.825914546845124,9.885706020210852
2024-01-29,26.906543421980203,2.8465528791012327,9.885706020210852
2024-01-30,27.21673476233646,2.843893021533194,9.952197860656046
2024-01-31,26.87228055967543,2.795078112654533,9.773863317482272
2024-02-01,26.908605669864667,2.8171261779562644,9.804360065653107
2024-02-02,27.4449053529712,2.8959778223446717,10.092744347103476
2024-02-05,27.281776328543206,2.8861759956662345,10.098709662083095
2024-02-06,27.35372594269596,2.899602539070766,10.100034551584399
2024-02-07,27.393306118881704,2.9312519130921304,10.085450830398802
2024-02-08,27.509680834326563,2.935905409894452,10.213398721763422
2024-02-09,27.212188740237064,2.942235017850591,10.013190252923131
2024-02-12,27.61878488978342,2.9461460773466737,10.082136398496376
2024-02-13,27.3407993285398,2.911519216818361,9.984019498328186
2024-02-14,27.415230862045973,2.9306839265153166,10.011199606447425
2024-02-15,28.267391151916684,2.953521911261767,10.322382350138794
2024-02-16,28.282943564595914,2.9418300198933545,10.328061613190675
2024-02-20,28.09172708767047,2.932756088944875,10.258235233534231
2024-02-21,28.382332184967943,2.9391500627642295,10.364355282288727
2024-02-22,28.45571083641803,3.0126686836345704,10.391150910245148
2024-02-23,28.338752226677354,3.012644857060849,10.348441221105615
2024-02-26,28.3288239671876,2.985864775581425,10.344815725920231
2024-02-27,28.084198860847405,2.9740054305260766,10.255486156505205
2024-02-28,28.139954177707985,2.9584732015781547,10.275846284385242
2024-02-29,28.13645134387726,2.966258612749182,10.274567157142284
2024-03-01,28.388157732999066,2.9861392543686174,10.366482593360809
2024-03-04,27.984099279502647,2.9585777064823864,10.21893286631382
2024-03-05,28.32733121096484,2.946787403722703,10.344270617232837
2024-03-06,28.630342059549438,2.9683214769474797,10.454920865022618
2024-03-07,28.79123073717068,3.005013368606343,10.513672464605662
2024-03-08,29.062062981008854,2.9949422858583556,10.612572075065614
2024-03-11,29.23367786021224,3.0128467731516095,10.675240553758602
2024-03-12,29.045973678635647,3.052578271571417,10.606696756400702
2024-03-13,29.370434757329097,3.058259718998276,10.725179968877322
2024-03-14,29.89064684184117,3.06513926759336,10.915145431577344
2024-03-15,29.837013660875048,3.042594074491126,10.895560242494588
2024-03-18,30.11321117855972,3.0638445552873512,10.996419086042557
2024-03-19,30.379650507623843,3.075233721447682,11.073775067864783
2024-03-20,30.594777784243185,3.089478466394129,11.08013866000095
2024-03-21,31.068636961252945,3.0936305496839176,11.09665369269701
2024-03-22,30.804747522510002,3.104881212192856,11.093879529273837
2024-03-25,30.891001832866998,3.10199735876933,11.207272591773854
2024-03-26,30.822441143079395,3.0930095580070724,11.12320652321561
2024-03-27,31.326386339687964,3.0991072274607587,11.238553081489929
2024-03-28,31.591446985405373,3.1019390171776697,11.362698292467073
2024-04-01,31.535287666357014,3.1156862423268112,11.436012212548194
2024-04-02,31.715808521462563,3.0948609925310264,11.659864925199392
2024-04-03,31.867321263528318,3.0892458861890306,11.661820797489234
2024-04-04,31.625142321027873,3.0564384243312643,11.702875895623437
2024-04-05,31.913915026509958,3.090493254666951,11.864167628842486
2024-04-08,31.902693385488003,3.080427496132037,11.784010928348383
2024-04-09,32.02194127888982,3.089047506590745,11.845592783377839
2024-04-10,32.36829966979845,3.0774974293067885,11.945301077223737
2024-04-11,32.17249853269986,3.091776507211391,11.905221934804839
2024-04-12,31.99832918101738,3.0459468334561124,11.766415207286427
2024-04-15,31.806901110515422,3.0200400383695825,11.698964943215598
2024-04-16,31.54379804873994,3.0258607243783326,11.602192438234079
2024-04-17,31.52784744850329,3.017305811270789,11.5963256135364
2024-04-18,31.498612578450327,3.03439453240266,11.585572672887428
2024-04-19,31.860057573442877,3.015252560982404,11.718516536567396
2024-04-22,32.04077576345867,3.0412292651438295,11.784986884063686
2024-04-23,32.165688390048615,3.0721285193170433,11.83093126683657
2024-04-24,32.74173541837343,3.0671229161389353,11.83288555478272
2024-04-25,32.71224228737846,3.0262279054246575,11.86025667643465
2024-04-26,32.50039398932072,3.0765883828227105,11.857291612265541
2024-04-29,32.775537222053764,3.062906797630195,12.023199514686329
2024-04-30,32.72454725758165,3.018005193364397,12.020193714807657
2024-05-01,32.58315992633857,3.043328883808631,12.020193714807657
2024-05-02,32.638970476290794,3.074387172654736,12.020193714807657
2024-05-03,32.76918904587163,3.0990532536754594,12.020193714807657
2024-05-06,32.70780318554983,3.137541671291371,12.020193714807657
2024-05-07,33.11706241094306,3.1371998993701418,12.020193714807657
2024-05-08,33.00358791339406,3.1455136019288754,12.020193714807657
2024-05-09,33.12450925988029,3.1640378088879175,12.020193714807657
2024-05-10,33.44633830633812,3.171169770302742,12.020193714807657
2024-05-13,33.652836434115216,3.1736758238890412,12.020193714807657
2024-05-14,33.46122293375103,3.1828192255944936,12.020193714807657
2024-05-15,33.38494942252914,3.2218248434981236,12.020193714807657
